"diff","lwr","upr","p adj"
196296.296296299,-2336.47090186749,394929.063494466,0.0535656108189455
21771.7717717736,-189398.415042175,232941.958585723,0.96809704763472
-174524.524524526,-285481.739844096,-63567.309204955,0.000716389704727316
